r,h,trn,value
AL,hh1,hucval,0.2878821137067359
AL,hh1,hwcval,0.061391271347248574
AL,hh1,hssval,4.069182509189241
AL,hh1,hssival,0.7048776731849361
AL,hh1,hpawval,0.04569221923613964
AL,hh1,hvetval,0.06668334864212076
AL,hh1,hsurval,0.009959485321585903
AL,hh1,hdisval,0.14054480826985577
AL,hh1,hedval,0.0675907295522388
AL,hh1,hcspval,0.059110887611940305
AL,hh1,hfinval,0.23672308385899815
AL,hh1,medicare,4.533871211151108
AL,hh1,medicaid,2.049438943089744
AL,hh2,hucval,0.4717982190217451
AL,hh2,hwcval,0.24079656318785578
AL,hh2,hssval,4.829745996427257
AL,hh2,hssival,0.33827539173346116
AL,hh2,hpawval,0.03894361724845996
AL,hh2,hvetval,0.5478757941207657
AL,hh2,hsurval,0.04408548662114537
AL,hh2,hdisval,0.15727029036506954
AL,hh2,hedval,0.08876781343283581
AL,hh2,hcspval,0.10800628492537315
AL,hh2,hfinval,0.049119294990723567
AL,hh2,medicare,4.401283193321952
AL,hh2,medicaid,1.7331001114618687
AL,hh3,hucval,0.29988959293510226
AL,hh3,hwcval,0.10028563036053131
AL,hh3,hssval,3.674008427534637
AL,hh3,hssival,0.2791549517571299
AL,hh3,hpawval,0.029241831622176598
AL,hh3,hvetval,0.4861906809543446
AL,hh3,hsurval,0.023939870484581495
AL,hh3,hdisval,0.12579436536386335
AL,hh3,hedval,0.0768113223880597
AL,hh3,hcspval,0.10776857704477613
AL,hh3,hfinval,0.028184593692022263
AL,hh3,medicare,2.573193716962464
AL,hh3,medicaid,1.0444664309285978
AL,hh4,hucval,0.8974759403361626
AL,hh4,hwcval,0.051675577138519925
AL,hh4,hssval,5.263727045770038
AL,hh4,hssival,0.0943712027788774
AL,hh4,hpawval,0.044444976098562634
AL,hh4,hvetval,1.0430738975846376
AL,hh4,hsurval,0.5589101920704845
AL,hh4,hdisval,0.32632079244434603
AL,hh4,hedval,0.17234572564179104
AL,hh4,hcspval,0.06791339158208955
AL,hh4,hfinval,0.1078994922077922
AL,hh4,medicare,1.2440732115409594
AL,hh4,medicaid,0.603546662128582
AL,hh5,hucval,0.2816823906230502
AL,hh5,hssval,1.289423710436965
AL,hh5,hssival,0.047957706420267976
AL,hh5,hvetval,0.9016571226723499
AL,hh5,hdisval,0.04643747092980418
AL,hh5,hedval,0.18823237498507459
AL,hh5,hcspval,0.06794554925373135
AL,hh5,hfinval,0.02896408163265306
AL,hh5,medicare,2.085366080432496
AL,hh5,medicaid,0.8607048256381441
AK,hh1,hucval,0.10721347295314095
AK,hh1,hssval,0.2803665002380349
AK,hh1,hssival,0.03791732232747551
AK,hh1,hpawval,0.021833368435318277
AK,hh1,hvetval,0.008707762709867452
AK,hh1,hsurval,0.004599729515418502
AK,hh1,hdisval,0.011988919255809556
AK,hh1,hedval,0.02558292537313433
AK,hh1,hcspval,0.00942799182089552
AK,hh1,hfinval,0.006839225231910945
AK,hh1,medicare,0.2250325716234648
AK,hh1,medicaid,0.43316224420191
AK,hh2,hucval,0.031320319721446756
AK,hh2,hssval,0.49598368595803694
AK,hh2,hssival,0.021209887819167147
AK,hh2,hpawval,0.005092011277207393
AK,hh2,hvetval,0.04220594021796759
AK,hh2,hsurval,0.01527066079295154
AK,hh2,hedval,0.010340692537313434
AK,hh2,hfinval,0.003911826345083488
AK,hh2,medicare,0.31392681738452516
AK,hh2,medicaid,0.5782320376432051
AK,hh3,hucval,0.053545835096186226
AK,hh3,hssval,0.3516036858089923
AK,hh3,hssival,0.03787652827302421
AK,hh3,hpawval,0.009040535852156058
AK,hh3,hvetval,0.0852689315346097
AK,hh3,hsurval,0.016738850220264313
AK,hh3,hdisval,0.008037358300398
AK,hh3,hedval,0.050087200000000005
AK,hh3,hcspval,0.01851504447761194
AK,hh3,hfinval,0.012542046011131725
AK,hh3,medicare,0.2742579419216532
AK,hh3,medicaid,0.5146002894459756
AK,hh4,hucval,0.23684950052127302
AK,hh4,hwcval,0.013705411764705881
AK,hh4,hssval,0.6060802071228812
AK,hh4,hssival,0.008996203876360383
AK,hh4,hpawval,0.0015082644763860372
AK,hh4,hvetval,0.11166603916347569
AK,hh4,hsurval,0.026491026713656385
AK,hh4,hdisval,0.020949919709958624
AK,hh4,hedval,0.03422359283582089
AK,hh4,hcspval,0.014837516179104476
AK,hh4,hfinval,0.050611057513914655
AK,hh4,medicare,0.173099079126876
AK,hh4,medicaid,0.33319614597544317
AK,hh5,hucval,0.05462824234752223
AK,hh5,hssval,0.3971522926784321
AK,hh5,hssival,0.003923845649601897
AK,hh5,hpawval,0.01743671457905544
AK,hh5,hvetval,0.27570394745213544
AK,hh5,hsurval,0.06016814949779735
AK,hh5,hdisval,0.0015066479755319574
AK,hh5,hedval,0.013048097014925373
AK,hh5,hcspval,0.012264262208955223
AK,hh5,hfinval,0.0018764972170686456
AK,hh5,medicare,0.33968358994348075
AK,hh5,medicaid,0.619547765571484
AR,hh1,hucval,0.3708221980680618
AR,hh1,hwcval,0.027914446451612906
AR,hh1,hssval,2.5493911810105616
AR,hh1,hssival,0.34376647716423453
AR,hh1,hpawval,0.08684636274332651
AR,hh1,hvetval,0.026490143293078052
AR,hh1,hsurval,0.040182858436123355
AR,hh1,hdisval,0.09027405172940592
AR,hh1,hedval,0.12386483295522388
AR,hh1,hcspval,0.03707568631343283
AR,hh1,hfinval,0.02222996615955473
AR,hh1,medicare,2.598514209949668
AR,hh1,medicaid,2.2054889356947838
AR,hh2,hucval,0.3193949827710857
AR,hh2,hwcval,0.009526942998102467
AR,hh2,hssval,4.1058929597720955
AR,hh2,hssival,0.20230232815646035
AR,hh2,hvetval,0.3696787846126657
AR,hh2,hsurval,0.09680618894273126
AR,hh2,hdisval,0.07492963859469376
AR,hh2,hedval,0.2030374457910448
AR,hh2,hcspval,0.03475632644776119
AR,hh2,hfinval,0.0047020938033395165
AR,hh2,medicare,2.686320526272684
AR,hh2,medicaid,2.280014546673936
AR,hh3,hucval,0.1472731031981569
AR,hh3,hwcval,0.07054879240986717
AR,hh3,hssval,2.4549916491316934
AR,hh3,hssival,0.09847240873200933
AR,hh3,hvetval,0.4649752218203239
AR,hh3,hsurval,0.06859317948898679
AR,hh3,hdisval,0.13645820610178871
AR,hh3,hedval,0.2207778358208955
AR,hh3,hcspval,0.06652898644776119
AR,hh3,hfinval,0.028080707977736548
AR,hh3,medicare,1.534377492787236
AR,hh3,medicaid,1.302302897003172
AR,hh4,hucval,0.4103225791968316
AR,hh4,hwcval,0.03876188447817836
AR,hh4,hssval,2.608646378342122
AR,hh4,hssival,0.029704810687664476
AR,hh4,hvetval,0.5722414468807069
AR,hh4,hsurval,0.14519962152422908
AR,hh4,hdisval,0.12512452689186895
AR,hh4,hedval,0.13317086713432835
AR,hh4,hcspval,0.017646722701492538
AR,hh4,hfinval,0.026095605194805197
AR,hh4,medicare,0.8096232366017269
AR,hh4,medicaid,0.6871677220657164
AR,hh5,hucval,0.034600701697639846
AR,hh5,hwcval,0.014180493358633776
AR,hh5,hssval,0.9705665728145694
AR,hh5,hssival,0.012929755375929934
AR,hh5,hpawval,0.032251051367556474
AR,hh5,hvetval,0.6971564845007364
AR,hh5,hsurval,0.09219168404405285
AR,hh5,hdisval,0.12442112767356998
AR,hh5,hedval,0.09724919402985074
AR,hh5,hcspval,0.03287402292537313
AR,hh5,medicare,1.0111645343886804
AR,hh5,medicaid,0.8582258985623928
AZ,hh1,hucval,0.6288733331570933
AZ,hh1,hssval,4.1835314237536885
AZ,hh1,hssival,0.5160324905138872
AZ,hh1,hpawval,0.12658680246406573
AZ,hh1,hvetval,0.21393462857142856
AZ,hh1,hsurval,0.019330896211453747
AZ,hh1,hdisval,0.03790984142505883
AZ,hh1,hedval,0.22278107462686567
AZ,hh1,hcspval,0.05080396973134329
AZ,hh1,hfinval,0.19402983851576996
AZ,hh1,medicare,4.0495619618826355
AZ,hh1,medicaid,3.0480059307348477
AZ,hh2,hucval,1.5395560949199958
AZ,hh2,hwcval,0.026953848956356736
AZ,hh2,hssval,7.975381260996931
AZ,hh2,hssival,0.26883870998029963
AZ,hh2,hpawval,0.2439267696098563
AZ,hh2,hvetval,0.47344165355775253
AZ,hh2,hsurval,0.26692715418502205
AZ,hh2,hdisval,0.007951517032069358
AZ,hh2,hedval,0.20325444925373135
AZ,hh2,hcspval,0.09094209886567163
AZ,hh2,hfinval,0.05742978367346939
AZ,hh2,medicare,5.108976991596372
AZ,hh2,medicaid,3.84540163033686
AZ,hh3,hucval,0.7994923477235053
AZ,hh3,hssval,5.529463636617375
AZ,hh3,hssival,0.03995244391194045
AZ,hh3,hpawval,0.015517307236139631
AZ,hh3,hvetval,0.5030130770846981
AZ,hh3,hsurval,0.18500154713656386
AZ,hh3,hdisval,0.005593274361977152
AZ,hh3,hedval,0.5459742511428308
AZ,hh3,hcspval,0.06449093740298507
AZ,hh3,hfinval,0.04712379962894248
AZ,hh3,medicare,3.522381118706976
AZ,hh3,medicaid,2.65120984471518
AZ,hh4,hucval,0.7051220237059357
AZ,hh4,hwcval,0.31756548546489566
AZ,hh4,hssval,6.895549267622401
AZ,hh4,hssival,0.17954474027852602
AZ,hh4,hpawval,0.035411542078028754
AZ,hh4,hvetval,1.0082226061277475
AZ,hh4,hsurval,0.21222551101321585
AZ,hh4,hdisval,0.15196251100424069
AZ,hh4,hedval,1.055173872840726
AZ,hh4,hcspval,0.12526499001492536
AZ,hh4,hfinval,0.3629104368089054
AZ,hh4,medicare,2.1855877371715318
AZ,hh4,medicaid,1.441687088957153
AZ,hh5,hucval,1.2209320399845203
AZ,hh5,hwcval,0.18157249092979125
AZ,hh5,hssval,7.141587455757612
AZ,hh5,hssival,0.05865543616657838
AZ,hh5,hpawval,0.08832705708418893
AZ,hh5,hvetval,1.746028876707635
AZ,hh5,hsurval,0.7299633243650487
AZ,hh5,hdisval,0.06352772137340496
AZ,hh5,hedval,0.3256388626865671
AZ,hh5,hcspval,0.12155147462686566
AZ,hh5,medicare,3.410692190642484
AZ,hh5,medicaid,2.567144328903252
CA,hh1,hucval,5.597889160388866
CA,hh1,hwcval,6.334952561669828e-06
CA,hh1,hssval,16.496567045487094
CA,hh1,hssival,3.154872708084096
CA,hh1,hpawval,1.2046214930378607
CA,hh1,hvetval,0.37147257508100145
CA,hh1,hsurval,0.06074922021145374
CA,hh1,hdisval,0.3276415048395288
CA,hh1,hedval,0.7226121585626432
CA,hh1,hcspval,0.14730844683582087
CA,hh1,hfinval,0.9755317734104357
CA,hh1,medicare,20.125552430029682
CA,hh1,medicaid,18.63832192713192
CA,hh2,hucval,14.162121503246192
CA,hh2,hwcval,0.2632233086072106
CA,hh2,hssval,26.879243890008777
CA,hh2,hssival,1.2666957861890447
CA,hh2,hpawval,1.110630708760931
CA,hh2,hvetval,1.4655804223195823
CA,hh2,hsurval,0.672087525334804
CA,hh2,hdisval,0.6239283824835351
CA,hh2,hedval,1.0573597720494632
CA,hh2,hcspval,0.30245263464179106
CA,hh2,hfinval,0.875505072142279
CA,hh2,medicare,24.644284145020077
CA,hh2,medicaid,22.82313010564764
CA,hh3,hucval,11.096834414781595
